"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41628","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-demo","Wed Mar 18 05:02:09 UTC 2026","passed","Wed Mar 18 05:02:51 UTC 2026","[V01] Viajes - Planificar","","",""
"","50866","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-demo","Wed Mar 18 05:00:19 UTC 2026","passed","Wed Mar 18 05:01:10 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","20671","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Wed Mar 18 04:56:33 UTC 2026","passed","Wed Mar 18 04:56:54 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","27121","Debe asignar un viaje usando entidades del JSON","firefox-demo","Wed Mar 18 05:04:16 UTC 2026","passed","Wed Mar 18 05:04:43 UTC 2026","[V02] Viajes - Asignar","","",""
"","56195","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-demo","Wed Mar 18 05:06:34 UTC 2026","passed","Wed Mar 18 05:07:30 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","43358","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-demo","Wed Mar 18 05:02:53 UTC 2026","passed","Wed Mar 18 05:03:36 UTC 2026","[V01] Viajes - Planificar","","",""
"","5098","authenticate","Autorización","Wed Mar 18 05:07:35 UTC 2026","passed","Wed Mar 18 05:07:40 UTC 2026","","","",""
"","21643","Debe crear un Transportista correctamente y guardar sus datos","firefox-demo","Wed Mar 18 04:56:01 UTC 2026","passed","Wed Mar 18 04:56:22 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","22226","Debe crear un Cliente correctamente y guardar sus datos","firefox-demo","Wed Mar 18 04:56:56 UTC 2026","passed","Wed Mar 18 04:57:18 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","14069","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-demo","Wed Mar 18 04:57:43 UTC 2026","passed","Wed Mar 18 04:57:57 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","26111","Debe asignar un viaje usando entidades del JSON","chromium-demo","Wed Mar 18 05:03:48 UTC 2026","passed","Wed Mar 18 05:04:14 UTC 2026","[V02] Viajes - Asignar","","",""
"","12776","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Wed Mar 18 04:57:29 UTC 2026","passed","Wed Mar 18 04:57:41 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
