"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TMS Legacy Flow","2","03-Viajes","0","0","Asignar Viaje","0"
"0","TMS Legacy Flow","3","02-Contratos","1","0","Contrato Tipo Venta","0"
"0","","0","","1","0","","0"
