"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1386","Debe finalizar un viaje asignado usando datos del JSON","firefox-qa","Sun Mar 29 05:16:56 UTC 2026","failed","Sun Mar 29 05:16:58 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","3425","authenticate","Autorización","Sun Mar 29 05:43:11 UTC 2026","passed","Sun Mar 29 05:43:14 UTC 2026","","","",""
"","11357","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-qa","Sun Mar 29 05:14:49 UTC 2026","passed","Sun Mar 29 05:15:01 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","47601","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-qa","Sun Mar 29 05:14:00 UTC 2026","failed","Sun Mar 29 05:14:48 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","20956","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Sun Mar 29 05:30:41 UTC 2026","passed","Sun Mar 29 05:31:02 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","47586","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-demo","Sun Mar 29 05:36:43 UTC 2026","failed","Sun Mar 29 05:37:31 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","240","Debe asignar un viaje usando entidades del JSON","chromium-demo","Sun Mar 29 05:34:21 UTC 2026","failed","Sun Mar 29 05:34:21 UTC 2026","[V02] Viajes - Asignar","","",""
"","12128","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Sun Mar 29 05:32:25 UTC 2026","passed","Sun Mar 29 05:32:38 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","43578","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-demo","Sun Mar 29 05:39:51 UTC 2026","passed","Sun Mar 29 05:40:35 UTC 2026","[V01] Viajes - Planificar","","",""
"","41309","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-demo","Sun Mar 29 05:34:23 UTC 2026","passed","Sun Mar 29 05:35:04 UTC 2026","[V01] Viajes - Planificar","","",""
"","293","Debe asignar un viaje usando entidades del JSON","chromium-qa","Sun Mar 29 05:11:34 UTC 2026","failed","Sun Mar 29 05:11:35 UTC 2026","[V02] Viajes - Asignar","","",""
"","49227","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-demo","Sun Mar 29 05:37:57 UTC 2026","passed","Sun Mar 29 05:38:46 UTC 2026","[C01] Contratos - Tipo Costo","","",""
