"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50768","Create Base Operational Entities (Steps 1-4)","base-entities-chromium","2026-03-30","passed","2026-03-30","Base Operational Suite - Entity Creation","","",""
"","4597","authenticate","Autorización","2026-03-30","passed","2026-03-30","","","",""
"","303729","Happy path: debe crear, seleccionar, optimizar y crear viaje para múltiples pedidos elegibles","firefox-demo","2026-03-30","passed","2026-03-30","Última Milla - Asignación batch de pedidos","","",""
"","61652","Create Base Operational Entities (Steps 1-4)","base-entities-firefox","2026-03-30","passed","2026-03-30","Base Operational Suite - Entity Creation","","",""
"","300713","Happy path: debe crear, seleccionar, optimizar y crear viaje para múltiples pedidos elegibles","chromium-demo","2026-03-30","passed","2026-03-30","Última Milla - Asignación batch de pedidos","","",""
