"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TMS Legacy Flow","0","00-Setup","2","0","Base Entities","0"
"0","","0","","1","0","","0"
"0","TMS Última Milla","0","Asignación Batch","2","0","Crear, optimizar y finalizar viaje batch","0"
