"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","283357","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-qa","Thu Mar 19 05:00:07 UTC 2026","passed","Thu Mar 19 05:04:51 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","53233","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-demo","Thu Mar 19 05:19:39 UTC 2026","passed","Thu Mar 19 05:20:32 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","12301","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Thu Mar 19 05:11:43 UTC 2026","passed","Thu Mar 19 05:11:55 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","55332","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-demo","Thu Mar 19 05:20:34 UTC 2026","passed","Thu Mar 19 05:21:29 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","9924","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-demo","Thu Mar 19 05:12:19 UTC 2026","passed","Thu Mar 19 05:12:29 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","48521","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-qa","Thu Mar 19 04:57:27 UTC 2026","failed","Thu Mar 19 04:58:15 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","12373","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-qa","Thu Mar 19 04:53:50 UTC 2026","passed","Thu Mar 19 04:54:02 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","42705","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-demo","Thu Mar 19 05:16:58 UTC 2026","passed","Thu Mar 19 05:17:40 UTC 2026","[V01] Viajes - Planificar","","",""
"","13236","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 19 05:11:56 UTC 2026","passed","Thu Mar 19 05:12:10 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","46747","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-qa","Thu Mar 19 04:55:00 UTC 2026","passed","Thu Mar 19 04:55:47 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","45528","Crear Contrato (Venta) usando seeded Cliente","chromium-demo","Thu Mar 19 05:13:39 UTC 2026","passed","Thu Mar 19 05:14:25 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","41222","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-demo","Thu Mar 19 05:16:14 UTC 2026","passed","Thu Mar 19 05:16:56 UTC 2026","[V01] Viajes - Planificar","","",""
"","45699","Crear Contrato (Venta) usando seeded Cliente","firefox-demo","Thu Mar 19 05:15:18 UTC 2026","passed","Thu Mar 19 05:16:04 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","21564","Debe crear un Transportista correctamente y guardar sus datos","firefox-demo","Thu Mar 19 05:10:18 UTC 2026","passed","Thu Mar 19 05:10:39 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","13729","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-qa","Thu Mar 19 04:54:04 UTC 2026","passed","Thu Mar 19 04:54:17 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","20799","Debe crear un Cliente correctamente y guardar sus datos","firefox-qa","Thu Mar 19 04:53:18 UTC 2026","passed","Thu Mar 19 04:53:39 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","20187","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Thu Mar 19 05:10:50 UTC 2026","passed","Thu Mar 19 05:11:10 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","49355","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 19 05:14:27 UTC 2026","passed","Thu Mar 19 05:15:16 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","25370","Debe asignar un viaje usando entidades del JSON","chromium-demo","Thu Mar 19 05:17:51 UTC 2026","passed","Thu Mar 19 05:18:17 UTC 2026","[V02] Viajes - Asignar","","",""
"","47064","Crear Contrato (Venta) usando seeded Cliente","firefox-qa","Thu Mar 19 04:59:10 UTC 2026","passed","Thu Mar 19 04:59:57 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","48581","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-qa","Thu Mar 19 04:56:35 UTC 2026","failed","Thu Mar 19 04:57:24 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","25204","Debe crear un Transportista correctamente y guardar sus datos","firefox-qa","Thu Mar 19 04:52:21 UTC 2026","passed","Thu Mar 19 04:52:47 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","10810","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 19 05:12:30 UTC 2026","passed","Thu Mar 19 05:12:41 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","21753","Debe crear un Cliente correctamente y guardar sus datos","firefox-demo","Thu Mar 19 05:11:11 UTC 2026","passed","Thu Mar 19 05:11:33 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","16720","Debe finalizar un viaje asignado usando datos del JSON","firefox-demo","Thu Mar 19 05:19:12 UTC 2026","passed","Thu Mar 19 05:19:29 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","10098","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-qa","Thu Mar 19 04:54:27 UTC 2026","passed","Thu Mar 19 04:54:37 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","19255","Debe crear un Cliente correctamente y guardar sus datos","chromium-qa","Thu Mar 19 04:52:57 UTC 2026","passed","Thu Mar 19 04:53:17 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","4664","authenticate","Autorización","Thu Mar 19 05:21:34 UTC 2026","passed","Thu Mar 19 05:21:39 UTC 2026","","","",""
"","19796","Debe crear un Transportista correctamente y guardar sus datos","chromium-demo","Thu Mar 19 05:09:56 UTC 2026","passed","Thu Mar 19 05:10:16 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","45465","Crear Contrato (Venta) usando seeded Cliente","chromium-qa","Thu Mar 19 04:55:48 UTC 2026","passed","Thu Mar 19 04:56:34 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","285904","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-qa","Thu Mar 19 05:04:56 UTC 2026","passed","Thu Mar 19 05:09:41 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","258469","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-demo","Thu Mar 19 05:21:40 UTC 2026","passed","Thu Mar 19 05:25:59 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
