"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12108","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-qa","Thu Mar 26 05:04:12 UTC 2026","passed","Thu Mar 26 05:04:24 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","19931","Debe crear un Transportista correctamente y guardar sus datos","firefox-demo","Thu Mar 26 05:26:22 UTC 2026","passed","Thu Mar 26 05:26:42 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","44780","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-qa","Thu Mar 26 05:06:08 UTC 2026","passed","Thu Mar 26 05:06:53 UTC 2026","[V01] Viajes - Planificar","","",""
"","1464","Debe finalizar un viaje asignado usando datos del JSON","firefox-demo","Thu Mar 26 05:34:37 UTC 2026","failed","Thu Mar 26 05:34:38 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","292","Debe finalizar un viaje asignado usando datos del JSON","chromium-demo","Thu Mar 26 05:28:53 UTC 2026","failed","Thu Mar 26 05:28:54 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","12206","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Thu Mar 26 05:27:02 UTC 2026","passed","Thu Mar 26 05:27:14 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","9960","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-demo","Thu Mar 26 05:26:52 UTC 2026","passed","Thu Mar 26 05:27:02 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","11553","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-qa","Thu Mar 26 05:09:22 UTC 2026","passed","Thu Mar 26 05:09:34 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","20318","Debe crear un Transportista correctamente y guardar sus datos","firefox-qa","Thu Mar 26 05:03:31 UTC 2026","passed","Thu Mar 26 05:03:51 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","48630","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-demo","Thu Mar 26 05:37:19 UTC 2026","failed","Thu Mar 26 05:38:07 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","293","Debe finalizar un viaje asignado usando datos del JSON","chromium-qa","Thu Mar 26 05:06:02 UTC 2026","failed","Thu Mar 26 05:06:02 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","45693","Crear Contrato (Venta) usando seeded Cliente","chromium-demo","Thu Mar 26 05:28:04 UTC 2026","passed","Thu Mar 26 05:28:50 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","49655","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 26 05:32:52 UTC 2026","passed","Thu Mar 26 05:33:42 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","282588","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-demo","Thu Mar 26 05:38:18 UTC 2026","passed","Thu Mar 26 05:43:01 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","292330","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-qa","Thu Mar 26 05:20:11 UTC 2026","passed","Thu Mar 26 05:25:03 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","46376","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-qa","Thu Mar 26 05:11:43 UTC 2026","passed","Thu Mar 26 05:12:29 UTC 2026","[V01] Viajes - Planificar","","",""
"","41575","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-demo","Thu Mar 26 05:29:00 UTC 2026","passed","Thu Mar 26 05:29:41 UTC 2026","[V01] Viajes - Planificar","","",""
"","1516","Debe asignar un viaje usando entidades del JSON","firefox-demo","Thu Mar 26 05:34:48 UTC 2026","failed","Thu Mar 26 05:34:49 UTC 2026","[V02] Viajes - Asignar","","",""
"","46163","Crear Contrato (Venta) usando seeded Cliente","firefox-qa","Thu Mar 26 05:10:36 UTC 2026","passed","Thu Mar 26 05:11:22 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","12871","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 26 05:32:39 UTC 2026","passed","Thu Mar 26 05:32:52 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","19583","Debe crear un Transportista correctamente y guardar sus datos","chromium-qa","Thu Mar 26 05:02:48 UTC 2026","passed","Thu Mar 26 05:03:07 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","21249","Debe crear un Cliente correctamente y guardar sus datos","firefox-demo","Thu Mar 26 05:25:59 UTC 2026","passed","Thu Mar 26 05:26:21 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","12816","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-qa","Thu Mar 26 05:09:34 UTC 2026","passed","Thu Mar 26 05:09:47 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","1452","Debe finalizar un viaje asignado usando datos del JSON","firefox-qa","Thu Mar 26 05:11:29 UTC 2026","failed","Thu Mar 26 05:11:30 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","303","Debe asignar un viaje usando entidades del JSON","chromium-qa","Thu Mar 26 05:06:06 UTC 2026","failed","Thu Mar 26 05:06:07 UTC 2026","[V02] Viajes - Asignar","","",""
"","43530","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-demo","Thu Mar 26 05:34:51 UTC 2026","passed","Thu Mar 26 05:35:35 UTC 2026","[V01] Viajes - Planificar","","",""
"","285684","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-demo","Thu Mar 26 05:43:06 UTC 2026","passed","Thu Mar 26 05:47:52 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","48433","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-demo","Thu Mar 26 05:27:15 UTC 2026","passed","Thu Mar 26 05:28:03 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","291913","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-qa","Thu Mar 26 05:15:13 UTC 2026","passed","Thu Mar 26 05:20:05 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","47921","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-qa","Thu Mar 26 05:08:32 UTC 2026","failed","Thu Mar 26 05:09:20 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","20709","Debe crear un Cliente correctamente y guardar sus datos","firefox-qa","Thu Mar 26 05:03:09 UTC 2026","passed","Thu Mar 26 05:03:30 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","46759","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-qa","Thu Mar 26 05:04:25 UTC 2026","passed","Thu Mar 26 05:05:11 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","19512","Debe crear un Transportista correctamente y guardar sus datos","chromium-demo","Thu Mar 26 05:25:38 UTC 2026","passed","Thu Mar 26 05:25:58 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","1437","Debe asignar un viaje usando entidades del JSON","firefox-qa","Thu Mar 26 05:11:39 UTC 2026","failed","Thu Mar 26 05:11:41 UTC 2026","[V02] Viajes - Asignar","","",""
"","4640","authenticate","Autorización","Thu Mar 26 05:38:12 UTC 2026","passed","Thu Mar 26 05:38:17 UTC 2026","","","",""
"","19374","Debe crear un Cliente correctamente y guardar sus datos","chromium-qa","Thu Mar 26 05:02:28 UTC 2026","passed","Thu Mar 26 05:02:47 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","20230","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Thu Mar 26 05:25:18 UTC 2026","passed","Thu Mar 26 05:25:38 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","11524","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 26 05:32:27 UTC 2026","passed","Thu Mar 26 05:32:38 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","64502","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-demo","Thu Mar 26 05:31:20 UTC 2026","failed","Thu Mar 26 05:32:25 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","46374","Crear Contrato (Venta) usando seeded Cliente","firefox-demo","Thu Mar 26 05:33:43 UTC 2026","passed","Thu Mar 26 05:34:30 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","48873","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-qa","Thu Mar 26 05:14:13 UTC 2026","failed","Thu Mar 26 05:15:02 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","47014","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-qa","Thu Mar 26 05:09:48 UTC 2026","passed","Thu Mar 26 05:10:35 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","276","Debe asignar un viaje usando entidades del JSON","chromium-demo","Thu Mar 26 05:28:58 UTC 2026","failed","Thu Mar 26 05:28:58 UTC 2026","[V02] Viajes - Asignar","","",""
"","10109","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-qa","Thu Mar 26 05:04:02 UTC 2026","passed","Thu Mar 26 05:04:12 UTC 2026","[E04] Entidades - Crear Conductor","","",""
