"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","Debe asignar un viaje usando entidades del JSON","chromium-demo","Sat Mar 21 04:52:56 UTC 2026","failed","Sat Mar 21 04:52:57 UTC 2026","[V02] Viajes - Asignar","","",""
"","25631","Debe crear un Cliente correctamente y guardar sus datos","firefox-demo","Sat Mar 21 04:49:54 UTC 2026","passed","Sat Mar 21 04:50:20 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","12461","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-demo","Sat Mar 21 04:56:16 UTC 2026","passed","Sat Mar 21 04:56:29 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","253144","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-qa","Sat Mar 21 04:40:24 UTC 2026","passed","Sat Mar 21 04:44:37 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","11976","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-qa","Sat Mar 21 04:27:01 UTC 2026","passed","Sat Mar 21 04:27:13 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","12016","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Sat Mar 21 04:51:02 UTC 2026","passed","Sat Mar 21 04:51:14 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","46434","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-qa","Sat Mar 21 04:27:13 UTC 2026","passed","Sat Mar 21 04:27:59 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","46057","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-qa","Sat Mar 21 04:32:29 UTC 2026","passed","Sat Mar 21 04:33:15 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","248331","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-demo","Sat Mar 21 05:01:46 UTC 2026","passed","Sat Mar 21 05:05:54 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","152888","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-qa","Sat Mar 21 04:37:47 UTC 2026","failed","Sat Mar 21 04:40:20 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","46994","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-qa","Sat Mar 21 04:36:48 UTC 2026","failed","Sat Mar 21 04:37:35 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","20018","Debe crear un Transportista correctamente y guardar sus datos","firefox-demo","Sat Mar 21 04:50:21 UTC 2026","passed","Sat Mar 21 04:50:41 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","294","Debe finalizar un viaje asignado usando datos del JSON","chromium-demo","Sat Mar 21 04:52:52 UTC 2026","failed","Sat Mar 21 04:52:52 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","45149","Crear Contrato (Venta) usando seeded Cliente","chromium-qa","Sat Mar 21 04:28:00 UTC 2026","passed","Sat Mar 21 04:28:45 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","43103","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-demo","Sat Mar 21 04:58:25 UTC 2026","passed","Sat Mar 21 04:59:08 UTC 2026","[V01] Viajes - Planificar","","",""
"","19997","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Sat Mar 21 04:49:12 UTC 2026","passed","Sat Mar 21 04:49:32 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","1438","Debe asignar un viaje usando entidades del JSON","firefox-qa","Sat Mar 21 04:34:19 UTC 2026","failed","Sat Mar 21 04:34:21 UTC 2026","[V02] Viajes - Asignar","","",""
"","16238","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-qa","Sat Mar 21 04:26:44 UTC 2026","passed","Sat Mar 21 04:27:00 UTC 2026","[E04] Entidades - Crear Conductor","","",""
