"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","1","0","","0"
"0","TMS Última Milla","0","Asignación Batch","1","0","Crear, optimizar y finalizar viaje batch","0"
