"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49912","Crear Contrato (Venta) usando seeded Cliente","chromium-qa","Tue Mar 10 04:32:48 UTC 2026","passed","Tue Mar 10 04:33:38 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","11261","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-demo","Tue Mar 10 04:48:50 UTC 2026","passed","Tue Mar 10 04:49:01 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","10645","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-demo","Tue Mar 10 04:48:37 UTC 2026","passed","Tue Mar 10 04:48:48 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","21671","Debe crear un Transportista correctamente y guardar sus datos","seed-transportista-firefox","Tue Mar 10 04:46:33 UTC 2026","passed","Tue Mar 10 04:46:54 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","29140","Debe asignar un viaje usando entidades del JSON","chromium-qa","Tue Mar 10 04:37:03 UTC 2026","passed","Tue Mar 10 04:37:32 UTC 2026","[V02] Viajes - Asignar","","",""
"","43484","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-qa","Tue Mar 10 04:35:23 UTC 2026","passed","Tue Mar 10 04:36:06 UTC 2026","[V01] Viajes - Planificar","","",""
"","14347","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-qa","Tue Mar 10 04:31:02 UTC 2026","passed","Tue Mar 10 04:31:17 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","20247","Debe crear un Transportista correctamente y guardar sus datos","seed-transportista-chromium","Tue Mar 10 04:28:56 UTC 2026","passed","Tue Mar 10 04:29:16 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","4846","authenticate","setup","Tue Mar 10 04:54:05 UTC 2026","passed","Tue Mar 10 04:54:10 UTC 2026","","","",""
"","203983","Flujo E2E Completo (Atómico) - CREACION DE ENTIDADES HASTA FINALIZAR VIAJE","chromium-qa","Tue Mar 10 04:38:57 UTC 2026","passed","Tue Mar 10 04:42:21 UTC 2026","[E2E] Viajes - Flujo Completo (Atómico)","","",""
"","21164","Debe crear un Cliente correctamente y guardar sus datos","chromium-qa","Tue Mar 10 04:29:50 UTC 2026","passed","Tue Mar 10 04:30:12 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","13884","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-demo","Tue Mar 10 04:48:14 UTC 2026","passed","Tue Mar 10 04:48:28 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
