"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4252","authenticate","Autorización","Fri Apr 17 06:07:59 UTC 2026","passed","Fri Apr 17 06:08:03 UTC 2026","","","",""
"","44063","Debe asignar un viaje usando entidades del JSON","firefox-qa","Fri Apr 17 05:36:30 UTC 2026","failed","Fri Apr 17 05:37:14 UTC 2026","[V02] Viajes - Asignar","","",""
"","42328","Debe asignar un viaje usando entidades del JSON","chromium-qa","Fri Apr 17 05:34:02 UTC 2026","failed","Fri Apr 17 05:34:45 UTC 2026","[V02] Viajes - Asignar","","",""
"","33469","Happy path: debe buscar, optimizar y crear viaje para un pedido elegible","chromium-demo","Fri Apr 17 06:09:14 UTC 2026","failed","Fri Apr 17 06:09:48 UTC 2026","Última Milla - Asignación de Pedido","","",""
