"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263801","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-demo","Thu Mar 12 05:23:10 UTC 2026","passed","Thu Mar 12 05:27:34 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","45158","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-demo","Thu Mar 12 05:18:11 UTC 2026","passed","Thu Mar 12 05:18:56 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","19970","Debe crear un Transportista correctamente y guardar sus datos","seed-transportista-chromium","Thu Mar 12 05:08:05 UTC 2026","passed","Thu Mar 12 05:08:25 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","13548","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 12 05:10:05 UTC 2026","passed","Thu Mar 12 05:10:19 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","40524","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-demo","Thu Mar 12 05:14:09 UTC 2026","passed","Thu Mar 12 05:14:50 UTC 2026","[V01] Viajes - Planificar","","",""
"","42109","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-demo","Thu Mar 12 05:14:51 UTC 2026","passed","Thu Mar 12 05:15:34 UTC 2026","[V01] Viajes - Planificar","","",""
"","45322","Crear Contrato (Venta) usando seeded Cliente","firefox-demo","Thu Mar 12 05:13:14 UTC 2026","passed","Thu Mar 12 05:13:59 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","188063","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-qa","Thu Mar 12 04:54:56 UTC 2026","failed","Thu Mar 12 04:58:04 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","43346","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 12 05:12:29 UTC 2026","passed","Thu Mar 12 05:13:12 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","20259","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Thu Mar 12 05:08:58 UTC 2026","passed","Thu Mar 12 05:09:18 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","25194","Debe asignar un viaje usando entidades del JSON","chromium-demo","Thu Mar 12 05:15:43 UTC 2026","passed","Thu Mar 12 05:16:08 UTC 2026","[V02] Viajes - Asignar","","",""
"","12914","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-qa","Thu Mar 12 04:47:20 UTC 2026","failed","Thu Mar 12 04:47:33 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","26355","Debe asignar un viaje usando entidades del JSON","firefox-demo","Thu Mar 12 05:16:10 UTC 2026","passed","Thu Mar 12 05:16:36 UTC 2026","[V02] Viajes - Asignar","","",""
"","15261","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-qa","Thu Mar 12 04:48:10 UTC 2026","failed","Thu Mar 12 04:48:25 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","10892","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-demo","Thu Mar 12 05:10:40 UTC 2026","passed","Thu Mar 12 05:10:50 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","23860","Debe crear un Transportista correctamente y guardar sus datos","seed-transportista-chromium","Thu Mar 12 04:44:55 UTC 2026","passed","Thu Mar 12 04:45:19 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","4794","authenticate","setup","Thu Mar 12 05:19:00 UTC 2026","passed","Thu Mar 12 05:19:05 UTC 2026","","","",""
"","15519","Debe finalizar un viaje asignado usando datos del JSON","firefox-demo","Thu Mar 12 05:17:02 UTC 2026","passed","Thu Mar 12 05:17:18 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","239879","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-demo","Thu Mar 12 05:19:07 UTC 2026","passed","Thu Mar 12 05:23:06 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","190938","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-qa","Thu Mar 12 05:04:40 UTC 2026","failed","Thu Mar 12 05:07:51 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","42017","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-demo","Thu Mar 12 05:10:59 UTC 2026","passed","Thu Mar 12 05:11:41 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","14351","Debe finalizar un viaje asignado usando datos del JSON","chromium-demo","Thu Mar 12 05:16:46 UTC 2026","passed","Thu Mar 12 05:17:01 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","12394","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Thu Mar 12 05:09:51 UTC 2026","passed","Thu Mar 12 05:10:04 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","43127","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-demo","Thu Mar 12 05:17:27 UTC 2026","passed","Thu Mar 12 05:18:10 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","21586","Debe crear un Cliente correctamente y guardar sus datos","firefox-demo","Thu Mar 12 05:09:20 UTC 2026","passed","Thu Mar 12 05:09:41 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","21942","Debe crear un Transportista correctamente y guardar sus datos","seed-transportista-firefox","Thu Mar 12 05:08:26 UTC 2026","passed","Thu Mar 12 05:08:48 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","25045","Debe crear un Transportista correctamente y guardar sus datos","seed-transportista-firefox","Thu Mar 12 04:45:21 UTC 2026","passed","Thu Mar 12 04:45:46 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","45048","Crear Contrato (Venta) usando seeded Cliente","chromium-demo","Thu Mar 12 05:11:42 UTC 2026","passed","Thu Mar 12 05:12:27 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","10603","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-demo","Thu Mar 12 05:10:27 UTC 2026","passed","Thu Mar 12 05:10:38 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","23117","Debe crear un Cliente correctamente y guardar sus datos","chromium-qa","Thu Mar 12 04:45:56 UTC 2026","passed","Thu Mar 12 04:46:19 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","20560","Debe crear un Cliente correctamente y guardar sus datos","firefox-qa","Thu Mar 12 04:46:21 UTC 2026","passed","Thu Mar 12 04:46:41 UTC 2026","[E02] Entidades - Crear Cliente","","",""
