"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","","0"
"0","TMS Legacy Flow","3","02-Contratos","1","0","Contrato Tipo Costo","0"
"0","TMS Última Milla","0","Asignación Batch","1","0","Crear, optimizar y finalizar viaje batch","0"
