"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46332","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-demo","Fri Mar 20 05:12:22 UTC 2026","failed","Fri Mar 20 05:13:09 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","48507","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-demo","Fri Mar 20 05:08:19 UTC 2026","passed","Fri Mar 20 05:09:08 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","1476","Debe finalizar un viaje asignado usando datos del JSON","firefox-demo","Fri Mar 20 05:15:19 UTC 2026","failed","Fri Mar 20 05:15:21 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","46555","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-qa","Fri Mar 20 04:53:56 UTC 2026","passed","Fri Mar 20 04:54:42 UTC 2026","[V01] Viajes - Planificar","","",""
"","12570","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-qa","Fri Mar 20 04:51:50 UTC 2026","passed","Fri Mar 20 04:52:02 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","45588","Crear Contrato (Venta) usando seeded Cliente","chromium-demo","Fri Mar 20 05:09:08 UTC 2026","passed","Fri Mar 20 05:09:54 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","46304","Crear Contrato (Venta) usando seeded Cliente","firefox-qa","Fri Mar 20 04:52:50 UTC 2026","passed","Fri Mar 20 04:53:36 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","12167","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Fri Mar 20 05:08:07 UTC 2026","passed","Fri Mar 20 05:08:19 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","46942","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-qa","Fri Mar 20 04:56:22 UTC 2026","failed","Fri Mar 20 04:57:09 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","4556","authenticate","Autorización","Fri Mar 20 05:18:50 UTC 2026","passed","Fri Mar 20 05:18:55 UTC 2026","","","",""
