"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TMS Legacy Flow","2","03-Viajes","0","0","Asignar Viaje","0"
"0","","1","","1","0","","0"
