"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252957","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-demo","Sun Mar 22 05:33:50 UTC 2026","passed","Sun Mar 22 05:38:03 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","9769","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-qa","Sun Mar 22 04:51:13 UTC 2026","passed","Sun Mar 22 04:51:23 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","46095","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-qa","Sun Mar 22 04:58:50 UTC 2026","passed","Sun Mar 22 04:59:36 UTC 2026","[V01] Viajes - Planificar","","",""
"","12073","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-qa","Sun Mar 22 04:51:23 UTC 2026","passed","Sun Mar 22 04:51:35 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","285","Debe finalizar un viaje asignado usando datos del JSON","chromium-qa","Sun Mar 22 04:53:12 UTC 2026","failed","Sun Mar 22 04:53:12 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","20002","Debe crear un Transportista correctamente y guardar sus datos","chromium-qa","Sun Mar 22 04:49:59 UTC 2026","passed","Sun Mar 22 04:50:19 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","4433","authenticate","Autorización","Sun Mar 22 05:29:29 UTC 2026","passed","Sun Mar 22 05:29:34 UTC 2026","","","",""
"","258382","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-qa","Sun Mar 22 05:07:48 UTC 2026","passed","Sun Mar 22 05:12:07 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","20726","Debe crear un Transportista correctamente y guardar sus datos","firefox-demo","Sun Mar 22 05:18:03 UTC 2026","passed","Sun Mar 22 05:18:24 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","12627","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-qa","Sun Mar 22 04:56:42 UTC 2026","passed","Sun Mar 22 04:56:55 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","19075","Debe crear un Cliente correctamente y guardar sus datos","chromium-qa","Sun Mar 22 04:49:39 UTC 2026","passed","Sun Mar 22 04:49:58 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","47377","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-demo","Sun Mar 22 05:23:00 UTC 2026","failed","Sun Mar 22 05:23:47 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","46440","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-qa","Sun Mar 22 04:51:35 UTC 2026","passed","Sun Mar 22 04:52:22 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","24043","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Sun Mar 22 05:16:51 UTC 2026","passed","Sun Mar 22 05:17:15 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","12490","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-demo","Sun Mar 22 05:24:02 UTC 2026","passed","Sun Mar 22 05:24:14 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","47473","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-qa","Sun Mar 22 04:55:41 UTC 2026","failed","Sun Mar 22 04:56:29 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","249650","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-demo","Sun Mar 22 05:29:35 UTC 2026","passed","Sun Mar 22 05:33:45 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","45405","Crear Contrato (Venta) usando seeded Cliente","firefox-demo","Sun Mar 22 05:25:04 UTC 2026","passed","Sun Mar 22 05:25:49 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","46515","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-qa","Sun Mar 22 04:56:55 UTC 2026","passed","Sun Mar 22 04:57:42 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","289","Debe finalizar un viaje asignado usando datos del JSON","chromium-demo","Sun Mar 22 05:20:34 UTC 2026","failed","Sun Mar 22 05:20:34 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","45361","Crear Contrato (Venta) usando seeded Cliente","chromium-qa","Sun Mar 22 04:52:23 UTC 2026","passed","Sun Mar 22 04:53:08 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","1441","Debe asignar un viaje usando entidades del JSON","firefox-demo","Sun Mar 22 05:26:07 UTC 2026","failed","Sun Mar 22 05:26:09 UTC 2026","[V02] Viajes - Asignar","","",""
"","1449","Debe asignar un viaje usando entidades del JSON","firefox-qa","Sun Mar 22 04:58:47 UTC 2026","failed","Sun Mar 22 04:58:48 UTC 2026","[V02] Viajes - Asignar","","",""
"","9822","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-demo","Sun Mar 22 05:18:34 UTC 2026","passed","Sun Mar 22 05:18:44 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","44943","Crear Contrato (Venta) usando seeded Cliente","chromium-demo","Sun Mar 22 05:19:45 UTC 2026","passed","Sun Mar 22 05:20:30 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","294","Debe asignar un viaje usando entidades del JSON","chromium-demo","Sun Mar 22 05:20:39 UTC 2026","failed","Sun Mar 22 05:20:39 UTC 2026","[V02] Viajes - Asignar","","",""
"","19483","Debe crear un Transportista correctamente y guardar sus datos","chromium-demo","Sun Mar 22 05:17:15 UTC 2026","passed","Sun Mar 22 05:17:35 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","11991","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Sun Mar 22 05:18:44 UTC 2026","passed","Sun Mar 22 05:18:56 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","11736","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-demo","Sun Mar 22 05:23:49 UTC 2026","passed","Sun Mar 22 05:24:01 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","45658","Crear Contrato (Venta) usando seeded Cliente","firefox-qa","Sun Mar 22 04:57:43 UTC 2026","passed","Sun Mar 22 04:58:29 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","42564","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-demo","Sun Mar 22 05:26:11 UTC 2026","passed","Sun Mar 22 05:26:53 UTC 2026","[V01] Viajes - Planificar","","",""
"","48372","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-demo","Sun Mar 22 05:24:14 UTC 2026","passed","Sun Mar 22 05:25:03 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","48366","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-demo","Sun Mar 22 05:28:36 UTC 2026","failed","Sun Mar 22 05:29:24 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","20607","Debe crear un Cliente correctamente y guardar sus datos","firefox-qa","Sun Mar 22 04:50:20 UTC 2026","passed","Sun Mar 22 04:50:41 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","44432","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-qa","Sun Mar 22 04:53:18 UTC 2026","passed","Sun Mar 22 04:54:03 UTC 2026","[V01] Viajes - Planificar","","",""
"","40877","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-demo","Sun Mar 22 05:20:41 UTC 2026","passed","Sun Mar 22 05:21:21 UTC 2026","[V01] Viajes - Planificar","","",""
"","263627","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-qa","Sun Mar 22 05:12:12 UTC 2026","passed","Sun Mar 22 05:16:35 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","25728","Debe crear un Cliente correctamente y guardar sus datos","firefox-demo","Sun Mar 22 05:17:36 UTC 2026","passed","Sun Mar 22 05:18:02 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","48091","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-demo","Sun Mar 22 05:18:57 UTC 2026","passed","Sun Mar 22 05:19:45 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","325052","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-qa","Sun Mar 22 05:02:18 UTC 2026","failed","Sun Mar 22 05:07:43 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","293","Debe asignar un viaje usando entidades del JSON","chromium-qa","Sun Mar 22 04:53:17 UTC 2026","failed","Sun Mar 22 04:53:17 UTC 2026","[V02] Viajes - Asignar","","",""
"","1428","Debe finalizar un viaje asignado usando datos del JSON","firefox-demo","Sun Mar 22 05:25:56 UTC 2026","failed","Sun Mar 22 05:25:58 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","1445","Debe finalizar un viaje asignado usando datos del JSON","firefox-qa","Sun Mar 22 04:58:36 UTC 2026","failed","Sun Mar 22 04:58:37 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","20124","Debe crear un Transportista correctamente y guardar sus datos","firefox-qa","Sun Mar 22 04:50:42 UTC 2026","passed","Sun Mar 22 04:51:02 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","11220","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-qa","Sun Mar 22 04:56:30 UTC 2026","passed","Sun Mar 22 04:56:42 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","48591","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-qa","Sun Mar 22 05:01:19 UTC 2026","failed","Sun Mar 22 05:02:08 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
